product_id,title,category,description,price,image
16,TYPE-C扩展坞七合一,电子产品,HDMI与USB3.0及SD读卡器笔记本扩展。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,189,images/products/6.jpg
17,27英寸2K办公显示器,电子产品,IPS窄边框低蓝光旋转升降支架。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,1199,images/products/5.jpg
18,入门游戏显卡,电子产品,1080P中高画质流畅主流网游。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,1599,images/products/4.jpg
19,氮化镓充电器65W三口,电子产品,笔记本手机同充可折叠插脚发热低。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,149,images/products/3.jpg
20,人体工学垂直鼠标,电子产品,竖握减轻手腕压力多档DPI可调。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,199,images/products/2.jpg
21,有线办公鼠标,电子产品,静音微动即插即用适合日常办公。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,29,images/products/1.jpg
22,10000mAh移动电源,电子产品,双向快充轻薄便携可上飞机。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,79,images/products/7.jpg
23,USB桌面小风扇,电子产品,三档风速可摇头夏季桌面降温。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,49,images/products/8.jpg
24,机械硬盘2TB,电子产品,台式机扩容SATA接口稳定冷备份。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,389,images/products/9.jpg
25,固态硬盘1TB NVMe,电子产品,PCIe4.0高速读写游戏与剪辑。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,529,images/products/10.jpg
26,速干运动T恤,运动户外,聚酯纤维吸湿排汗跑步健身。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,59,images/products/11.jpg
27,骑行头盔,运动户外,EPS缓冲可拆内衬山地公路通用。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,189,images/products/12.jpg
28,高密度瑜伽砖一对,运动户外,支撑稳定辅助体式初学者友好。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,35,images/products/13.jpg
29,家用折叠跑步机,运动户外,静音减震可收纳坡度可调。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,2699,images/products/14.jpg
30,泡沫轴按摩柱,运动户外,放松筋膜瑜伽后恢复训练。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,79,images/products/15.jpg
31,运动护膝一对,运动户外,弹簧支撑跑步篮球防护。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,129,images/products/1.jpg
32,弹力带套装5根,运动户外,乳胶阻力带力量康复训练。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,45,images/products/2.jpg
33,矿泉水550ml×24,食品饮料,天然弱碱整箱家庭囤货。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,28,images/products/3.jpg
34,冷榨橄榄油500ml,食品饮料,西班牙进口凉拌热炒皆宜。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,89,images/products/4.jpg
35,每日坚果礼盒750g,食品饮料,混合果仁独立小包送礼自用。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,168,images/products/5.jpg
36,婴儿果泥90g×6,食品饮料,无添加糖多种口味辅食。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,58,images/products/6.jpg
37,进口干红葡萄酒750ml,食品饮料,橡木桶陈酿配餐聚会。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,298,images/products/7.jpg
38,气泡苏打水500ml×12,食品饮料,零糖零卡柠檬味清爽解腻。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,36,images/products/8.jpg
39,蜂蜜柚子茶1kg,食品饮料,冲饮果酱冷热皆可润喉。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,42,images/products/9.jpg
40,超声波加湿器,家用电器,静音上加水卧室用3L容量小房间。安装与使用前请阅读说明书，注意用电安全与接地。演示价格为参考标价，以结算页与活动规则为准。,129,images/products/10.jpg
41,空气炸锅4L,家用电器,无油烹饪预设菜单不粘内胆易清洗。安装与使用前请阅读说明书，注意用电安全与接地。演示价格为参考标价，以结算页与活动规则为准。,399,images/products/11.jpg
42,电压力锅5L,家用电器,双胆多功能煲汤炖肉煮粥。安装与使用前请阅读说明书，注意用电安全与接地。演示价格为参考标价，以结算页与活动规则为准。,599,images/products/12.jpg
43,两门小型冰箱118L,家用电器,宿舍租房静音节能冷藏冷冻分区。安装与使用前请阅读说明书，注意用电安全与接地。演示价格为参考标价，以结算页与活动规则为准。,899,images/products/13.jpg
44,变频空调1.5匹,家用电器,一级能效冷暖两用远程智控。安装与使用前请阅读说明书，注意用电安全与接地。演示价格为参考标价，以结算页与活动规则为准。,3299,images/products/14.jpg
45,手持无线吸尘器,家用电器,多刷头除螨家用大吸力。安装与使用前请阅读说明书，注意用电安全与接地。演示价格为参考标价，以结算页与活动规则为准。,1299,images/products/15.jpg
46,电热水壶1.7L,家用电器,304不锈钢一键保温防干烧。安装与使用前请阅读说明书，注意用电安全与接地。演示价格为参考标价，以结算页与活动规则为准。,79,images/products/1.jpg
47,电饭煲4L智能款,家用电器,IH加热预约煮粥煲汤蛋糕模式。安装与使用前请阅读说明书，注意用电安全与接地。演示价格为参考标价，以结算页与活动规则为准。,459,images/products/2.jpg
48,氨基酸洁面乳150ml,美妆个护,温和清洁不紧绷敏感肌可用。首次使用建议在耳后做敏感测试。若出现不适请停用并咨询医生；避免接触眼周开放伤口。,59,images/products/3.jpg
49,修护精华液30ml,美妆个护,烟酰胺保湿提亮夜间修护。首次使用建议在耳后做敏感测试。若出现不适请停用并咨询医生；避免接触眼周开放伤口。,229,images/products/4.jpg
50,口红三支礼盒,美妆个护,丝绒雾面多色系送礼自用。首次使用建议在耳后做敏感测试。若出现不适请停用并咨询医生；避免接触眼周开放伤口。,199,images/products/5.jpg
51,防脱洗发水500ml,美妆个护,生姜侧柏叶配方控油蓬松。首次使用建议在耳后做敏感测试。若出现不适请停用并咨询医生；避免接触眼周开放伤口。,88,images/products/6.jpg
52,医用冷敷面膜5片,美妆个护,晒后补水舒缓械字号备案。首次使用建议在耳后做敏感测试。若出现不适请停用并咨询医生；避免接触眼周开放伤口。,46,images/products/7.jpg
53,科幻小说星河记事,图书文娱,经典系列平装本通勤阅读。纸张与印刷批次可能略有差异。拼图类商品含细小零件，儿童请在成人监护下使用。,36,images/products/8.jpg
54,Python数据分析实战,图书文娱,案例驱动从入门到项目部署。纸张与印刷批次可能略有差异。拼图类商品含细小零件，儿童请在成人监护下使用。,79,images/products/9.jpg
55,儿童启蒙绘本10册,图书文娱,大图拼音亲子共读。纸张与印刷批次可能略有差异。拼图类商品含细小零件，儿童请在成人监护下使用。,118,images/products/10.jpg
56,世界地图拼图1000片,图书文娱,加厚纸质咬合紧密减压益智。纸张与印刷批次可能略有差异。拼图类商品含细小零件，儿童请在成人监护下使用。,52,images/products/11.jpg
57,手账本礼盒套装,图书文娱,含胶带贴纸与彩笔日记手账。纸张与印刷批次可能略有差异。拼图类商品含细小零件，儿童请在成人监护下使用。,68,images/products/12.jpg
58,纯棉圆领短袖T恤,服饰鞋包,240g重磅纯棉黑白灰多尺码。因显示器差异颜色可能略有偏差，请以实物为准。洗涤请按洗标操作，避免长时间暴晒。,79,images/products/13.jpg
59,直筒弹力牛仔裤,服饰鞋包,中高腰显瘦深蓝浅蓝两色。因显示器差异颜色可能略有偏差，请以实物为准。洗涤请按洗标操作，避免长时间暴晒。,219,images/products/14.jpg
60,轻便薄款羽绒服,服饰鞋包,90白鸭绒蓬松保暖可收纳口袋。因显示器差异颜色可能略有偏差，请以实物为准。洗涤请按洗标操作，避免长时间暴晒。,699,images/products/15.jpg
61,城市通勤双肩包20L,服饰鞋包,独立电脑夹层防泼水面料。因显示器差异颜色可能略有偏差，请以实物为准。洗涤请按洗标操作，避免长时间暴晒。,289,images/products/1.jpg
62,商务免烫长袖衬衫,服饰鞋包,抗皱易打理职场通勤。因显示器差异颜色可能略有偏差，请以实物为准。洗涤请按洗标操作，避免长时间暴晒。,169,images/products/2.jpg
63,真空压缩袋8件套,居家收纳,电动泵可选换季被褥收纳。承重请勿超过商品说明；金属件请保持干燥防锈。塑料与布艺部件远离高温明火。,49,images/products/3.jpg
64,四层金属置物架,居家收纳,层高可调厨房阳台多场景。承重请勿超过商品说明；金属件请保持干燥防锈。塑料与布艺部件远离高温明火。,139,images/products/4.jpg
65,布艺折叠收纳箱3个,居家收纳,可水洗防潮内衣杂物整理。承重请勿超过商品说明；金属件请保持干燥防锈。塑料与布艺部件远离高温明火。,95,images/products/5.jpg
66,加厚防滑衣架30支,居家收纳,肩部防滑条不起包痕。承重请勿超过商品说明；金属件请保持干燥防锈。塑料与布艺部件远离高温明火。,28,images/products/6.jpg
67,护眼调光LED台灯,居家收纳,国AA照度无蓝光危害学习阅读。承重请勿超过商品说明；金属件请保持干燥防锈。塑料与布艺部件远离高温明火。,129,images/products/7.jpg
68,超薄透气纸尿裤L码整箱,母婴用品,360腰围防漏夜用干爽。婴幼儿用品请在成人监护下使用。辅食与纸尿裤请按月龄与体重选择；开封后注意卫生与保质期。,189,images/products/8.jpg
69,婴儿手口湿巾80抽×5,母婴用品,无酒精无香精加盖保湿。婴幼儿用品请在成人监护下使用。辅食与纸尿裤请按月龄与体重选择；开封后注意卫生与保质期。,35,images/products/9.jpg
70,316不锈钢儿童保温杯500ml,母婴用品,吸管直饮两用防摔杯套。婴幼儿用品请在成人监护下使用。辅食与纸尿裤请按月龄与体重选择；开封后注意卫生与保质期。,99,images/products/10.jpg
71,高铁锌米粉400g,母婴用品,细腻易冲泡6个月以上辅食。婴幼儿用品请在成人监护下使用。辅食与纸尿裤请按月龄与体重选择；开封后注意卫生与保质期。,48,images/products/11.jpg
72,轻便折叠婴儿推车,母婴用品,一键收合可登机静音万向轮。婴幼儿用品请在成人监护下使用。辅食与纸尿裤请按月龄与体重选择；开封后注意卫生与保质期。,799,images/products/12.jpg
73,全价成猫粮2kg,宠物用品,鸡肉三文鱼无谷配方护毛球化毛。换粮请遵循七日过渡法。零食仅作奖励不宜过量；饮水机与食盆请定期清洗消毒。,96,images/products/13.jpg
74,尼龙反光狗狗牵引绳2m,宠物用品,胸背套装中小型犬夜间安全。换粮请遵循七日过渡法。零食仅作奖励不宜过量；饮水机与食盆请定期清洗消毒。,42,images/products/14.jpg
75,全封闭式猫砂盆大号,宠物用品,隔臭抽屉铲屎侧开门防外溅。换粮请遵循七日过渡法。零食仅作奖励不宜过量；饮水机与食盆请定期清洗消毒。,168,images/products/15.jpg
76,鸡肉冻干猫狗零食罐,宠物用品,单一肉源训练奖励复水快。换粮请遵循七日过渡法。零食仅作奖励不宜过量；饮水机与食盆请定期清洗消毒。,22,images/products/1.jpg
77,智能循环宠物饮水机3L,宠物用品,静音水泵多层过滤净水。换粮请遵循七日过渡法。零食仅作奖励不宜过量；饮水机与食盆请定期清洗消毒。,199,images/products/2.jpg
